matched_names,ingress_csplus_matched_to_name_1,ingress_csplus_matched_to_name_2,ingress_csplus_matched_to_name_3,ingress_csplus_matched_to_name_4,ingress_csplus_matched_to_name_5,ingress_csplus_matched_to_name_6,ingress_csplus_matched_to_name_7,ingress_csplus_matched_to_name_8,ingress_csplus_matched_to_name_9,ingress_csplus_matched_to_name_10,ingress_csminus_matched_to_name_1,ingress_csminus_matched_to_name_2,ingress_csminus_matched_to_name_3,ingress_csminus_matched_to_name_4,ingress_csminus_matched_to_name_5,ingress_csminus_matched_to_name_6,ingress_csminus_matched_to_name_7,ingress_csminus_matched_to_name_8,ingress_csminus_matched_to_name_9,ingress_csminus_matched_to_name_10
PO330,3371,4929,3793,7093,8622,3709,6226,7352,2547,7108,2379,6936,2509,9399,12176,0,2425,4074,3592,3465
PO331,7756,3097,6413,2615,6367,7685,4345,7272,6030,2234,4155,4609,2998,3055,4235,7704,9421,2416,2832,2334
PO334,2702,9966,8803,8588,9373,0,0,11040,11673,0,3399,0,0,10619,3148,0,11838,11989,10850,10087
PO340,8200,5449,2592,2460,10804,10626,0,0,0,6581,2353,11296,2588,2336,2182,0,2470,0,5003,0
PO341,2618,8850,5456,0,9391,10881,8799,6888,0,0,0,0,2607,11292,11429,0,10946,11310,13078,0
PO342,6390,6677,8068,0,9434,0,0,0,0,0,2620,2070,0,11030,13197,0,12077,0,0,8799
PO343,0,0,0,8820,9294,8920,7112,10048,6894,8309,0,11588,11544,10571,10397,0,0,11272,11031,0
PO344,5903,10162,5128,5173,4953,7673,6794,2203,10147,7221,0,0,12362,12010,0,0,0,0,0,2163
PO350,3370,5956,0,3009,7245,4716,7760,0,4539,5908,0,3125,0,4578,12797,7380,0,7493,0,8935
PO352,10429,4329,2759,3067,0,0,10385,3916,10569,0,0,0,0,0,0,0,0,4352,0,0
PO371,6804,10356,9090,6994,5238,6416,3458,4161,3169,7373,0,7553,10883,2954,2783,0,0,0,9321,0
PO373,0,7044,0,0,0,0,0,0,0,0,2091,0,11082,8579,0,10709,4583,0,11738,0
PO374,3650,7484,6034,3799,4399,5801,2274,7751,10174,6307,3613,3825,3572,10839,0,6467,0,11666,7089,0
PW14,11553,4534,9392,0,0,0,6639,10913,5547,0,3899,10745,0,0,10919,0,0,0,0,8991
PW15,2475,3797,2872,3244,4646,6519,9497,7915,3761,4981,0,13071,10925,0,0,0,0,0,4914,0
PW17,2486,10533,4431,8882,7429,10120,6397,0,11196,0,0,0,0,0,0,10682,9776,0,0,0
PW26,6368,9781,4520,2071,4092,4454,4796,4482,4944,0,0,6778,0,0,0,0,0,0,0,0
PW28,4893,13608,8923,8023,5965,0,12159,5040,8075,7408,0,0,0,0,0,2500,0,4859,10436,10721
PW31,13393,10830,5039,6084,5011,10886,6069,6812,7971,5861,6658,0,0,0,11204,13149,0,13389,0,8020